"TIME","GEO","UNIT","SEX","AGE","ICD10","Value"
"1994","CZ01","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","1.0"
"1994","CZ01","Rate","Total","65 years or over","Intentional self-harm","36.5"
"1994","CZ04","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","1.6"
"1994","CZ04","Rate","Total","65 years or over","Intentional self-harm","57.8"
"1994","CZ05","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","1.0"
"1994","CZ05","Rate","Total","65 years or over","Intentional self-harm","51.8"
"1994","CZ06","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","1.3"
"1994","CZ06","Rate","Total","65 years or over","Intentional self-harm","31.8"
"1994","CZ07","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","0.6"
"1994","CZ07","Rate","Total","65 years or over","Intentional self-harm","32.7"
"1994","DE1","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","29.6"
"1994","DE1","Rate","Total","65 years or over","Intentional self-harm","28.4"
"1994","DE2","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","40.0"
"1994","DE2","Rate","Total","65 years or over","Intentional self-harm","32.4"
"1994","DE3","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","62.4"
"1994","DE3","Rate","Total","65 years or over","Intentional self-harm","33.6"
"1994","DE4","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","19.6"
"1994","DE4","Rate","Total","65 years or over","Intentional self-harm","29.7"
"1994","DE5","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","34.2"
"1994","DE5","Rate","Total","65 years or over","Intentional self-harm","35.9"
"1994","DE6","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","43.7"
"1994","DE6","Rate","Total","65 years or over","Intentional self-harm","40.6"
"1994","DE7","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","43.6"
"1994","DE7","Rate","Total","65 years or over","Intentional self-harm","25.6"
"1994","DE8","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","66.8"
"1994","DE8","Rate","Total","65 years or over","Intentional self-harm","31.8"
"1994","DE9","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","35.7"
"1994","DE9","Rate","Total","65 years or over","Intentional self-harm","33.9"
"1994","DEA","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","29.0"
"1994","DEA","Rate","Total","65 years or over","Intentional self-harm","19.5"
"1994","DEB","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","85.6"
"1994","DEB","Rate","Total","65 years or over","Intentional self-harm","25.9"
"1994","DEC","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","101.9"
"1994","DEC","Rate","Total","65 years or over","Intentional self-harm","90.7"
"1994","DED","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","9.5"
"1994","DED","Rate","Total","65 years or over","Intentional self-harm","5.0"
"1994","DEE","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","41.1"
"1994","DEE","Rate","Total","65 years or over","Intentional self-harm","84.9"
"1994","DEF","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","59.4"
"1994","DEF","Rate","Total","65 years or over","Intentional self-harm","36.0"
"1994","DEG","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","16.3"
"1994","DEG","Rate","Total","65 years or over","Intentional self-harm","44.6"
"1994","EL11","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","12.7"
"1994","EL11","Rate","Total","65 years or over","Intentional self-harm","6.9"
"1994","EL12","Rate","Total","65 years or over","Mental and behavioural disorders (F00-F99)","8.1"
"1994","EL12","Rate","Total","65 years or over","Intentional self-harm","5.1"
