OID_,TARGET_FID,JOIN_FID,Name,STATION_ID,POINT_X,POINT_Y,id,area_number,community,2010 Crimes (200 m),2011 Crimes (200 m),2012 Crimes (200 m),2013 Crimes (200 m),2014 Crimes (200 m),2015 Crimes (200 m),2016 Crimes (200 m),2017 Crimes (200 m),2018 Crimes (200 m),2019 Crimes (200 m)
3,2,44,Wellington,1210,1169286.335,1920014.046,1210,6,LAKE VIEW,108,128,120,111,95,90,85,93,97,72
23,22,36,Chicago,1450,1176230.958,1905725.849,1450,8,NEAR NORTH SIDE,608,887,833,625,450,364,439,517,594,597
24,23,36,Sedgwick,800,1173161.406,1910707.274,800,8,NEAR NORTH SIDE,168,188,130,131,162,139,131,127,226,157
36,35,67,Armitage,660,1169507.151,1913523.191,660,7,LINCOLN PARK,126,134,102,121,80,78,81,102,121,94
39,38,44,Addison,1420,1169155.598,1924165.785,1420,6,LAKE VIEW,263,229,313,236,194,213,255,191,241,179
64,63,44,Belmont,1320,1169244.56,1921368.701,1320,6,LAKE VIEW,493,573,520,538,398,307,328,290,326,308
75,74,44,Diversey,530,1169332.772,1918811.409,530,6,LAKE VIEW,125,107,99,106,98,84,83,86,83,99
78,77,67,Fullerton,1220,1169427.095,1916013.325,1220,7,LINCOLN PARK,251,207,172,193,134,90,105,114,151,143
80,79,36,Chicago,710,1174115.154,1905746.076,710,8,NEAR NORTH SIDE,288,198,247,250,195,192,214,256,243,269
82,81,44,Paulina,1310,1164471.23,1922773.867,1310,6,LAKE VIEW,101,115,142,88,73,52,66,54,70,71
98,97,36,North/Clybourn,650,1170472.731,1910775.102,650,8,NEAR NORTH SIDE,190,181,157,152,146,156,201,274,265,270
101,100,36,Grand,330,1176288.179,1903902.005,330,8,NEAR NORTH SIDE,602,655,733,770,725,695,890,1124,1105,1156
116,115,44,Sheridan,80,1168782.699,1926475.826,80,6,LAKE VIEW,146,131,175,154,129,107,108,135,146,122
118,117,36,Clark/Division,630,1175328.346,1908360.2,630,8,NEAR NORTH SIDE,643,641,555,556,521,484,609,564,616,594
120,119,36,Merchandise Mart,460,1174675.578,1902905.856,460,8,NEAR NORTH SIDE,206,195,217,231,177,204,213,252,249,265
121,120,44,Southport,360,1166449.963,1922826.818,360,6,LAKE VIEW,92,102,86,58,58,74,65,67,79,75
